+--------+--------+--------+--------+--------+-----+---------------+---------------------+---------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF       |        C_prim       |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.1928976949011855 |
| No PCA |  Poly  |  0.01  |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.3052729610066752 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08833575224328746 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.19680435662498136 |
| No PCA |  Poly  |  0.01  |   2    |   -    |  10 |  (0.1, 1, 1)  |  0.3159249721276086 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08281892960197139 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |   0.19937195086479  |
| No PCA |  Poly  |  0.01  |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.6968120812787707 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.16824473877098786 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.4325284100248793 |
| No PCA |  Poly  |  0.01  |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.7382443735494778 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.18330111764056692 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.46077274559502235 |
| No PCA |  Poly  |  0.01  |   3    |   -    |  10 |  (0.1, 1, 1)  |  0.8105131043436955 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.24734436802517026 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.5289287361844329 |
| No PCA |  Poly  |  0.1   |   2    |   -    | 0.1 |  (0.1, 1, 1)  | 0.31084713080814286 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08952780979657685 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.20018747030235984 |
| No PCA |  Poly  |  0.1   |   2    |   -    |  1  |  (0.1, 1, 1)  |  0.3191459595227727 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08846351320427397 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.20380473636352334 |
| No PCA |  Poly  |  0.1   |   2    |   -    |  10 |  (0.1, 1, 1)  | 0.32431320940248065 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.08455305197753508 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          | 0.20443313069000787 |
| No PCA |  Poly  |  0.1   |   3    |   -    | 0.1 |  (0.1, 1, 1)  |  0.9308735517703169 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3157824904763814 |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -          |  0.6233280211233492 |
| No PCA |  Poly  |  0.1   |   3    |   -    |  1  |  (0.1, 1, 1)  |  0.938420549487318  |          -          |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.3143437522300658 |          -          |
