+--------+------------+----------------+-------------+---------------+---------------------+---------------------+
|  PCA   | g (target) | g (NON target) |   function  | Working Point |        minDCF       |        C_prim       |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8607654226157093 |
| No PCA |     4      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4381384792366072 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09576550859157211 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.26695199391408964 |
| No PCA |     4      |       8        |    GMM_EM   |  (0.1, 1, 1)  | 0.37911982073291123 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08971342244153273 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23441662158722198 |
| No PCA |     4      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9836543557174388 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6844899868842269 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8340721713008328 |
| No PCA |     4      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3713096754107715 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.0945316667513987 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23292067108108508 |
| No PCA |     4      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.3937460855426469 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09470069896368602 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.24422339225316647 |
| No PCA |     4      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.983540691532929  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7141405572236963 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8488406243783126 |
| No PCA |     4      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.3732463645153764 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09280305178669364 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.23302470815103501 |
| No PCA |     8      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.4563935445305961 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.109323644401863  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2828585944662296 |
| No PCA |     8      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9621129878234858 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.6493716732736284 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8057423305485572 |
| No PCA |     8      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4490793167326471 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.1006191945645899 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2748492556486185 |
| No PCA |     8      |       2        |    GMM_EM   |  (0.1, 1, 1)  | 0.44898844891563144 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10602301429444234 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2775057316050369 |
| No PCA |     8      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9579202246306077 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.5625992484874307 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.7602597365590191 |
| No PCA |     8      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4490793167326471 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.1006191945645899 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2748492556486185 |
| No PCA |     8      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.4151123515362715 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10440863983144766 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2597604956838596 |
| No PCA |     8      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9582348643062119 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.5672438622096125 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.7627393632579123 |
| No PCA |     8      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4490793167326471 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.1006191945645899 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2748492556486185 |
| No PCA |     8      |       8        |    GMM_EM   |  (0.1, 1, 1)  | 0.41380334539249136 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.10370910404190647 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.25875622471719895 |
| No PCA |     8      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9613541572460349 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.5663854378765032 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.763869797561269  |
| No PCA |     8      |       8        | GMM_EM_tied |  (0.1, 1, 1)  | 0.40310657758586527 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.0869412496164443 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.24502391360115477 |
| No PCA |     8      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.4068738032258712 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09981106261323067 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.25334243291955094 |
| No PCA |     8      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9650505406259636 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.5753360935162387 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.7701933170711012 |
| No PCA |     8      |       16       | GMM_EM_tied |  (0.1, 1, 1)  | 0.41115802029526466 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08953896215089846 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.25034849122308156 |
| No PCA |     16     |       1        |    GMM_EM   |  (0.1, 1, 1)  | 0.46992439831255683 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.13600444858659058 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.3029644234495737 |
| No PCA |     16     |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9581005892233179 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.5428753273216891 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.7504879582725035 |
| No PCA |     16     |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4465633645977155 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09994376435941435 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2732535644785649 |
| No PCA |     16     |       2        |    GMM_EM   |  (0.1, 1, 1)  | 0.46103784230232253 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.14404171111336286 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.3025397767078427 |
| No PCA |     16     |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9585079089399079 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.4292306487909336 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6938692788654207 |
| No PCA |     16     |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4465633645977155 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09994376435941435 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2732535644785649 |
| No PCA |     16     |       4        |    GMM_EM   |  (0.1, 1, 1)  | 0.39799117390635563 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.13822747439131747 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          | 0.26810932414883654 |
| No PCA |     16     |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9577910630617715 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.4300711164743764 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6939310897680739 |
| No PCA |     16     |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.4465633645977155 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.09994376435941435 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2732535644785649 |
| No PCA |     16     |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.3983204672966529 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.13243947094609837 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2653799691213756 |
| No PCA |     16     |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9578534561846629 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.42700118261581893 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6924273194002409 |
| No PCA |     16     |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.3684964469679447 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08731220026899086 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2279043236184678 |
| No PCA |     16     |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.4203800317736258 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.13312501125698914 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2767525215153075 |
| No PCA |     16     |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.953333656464386  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.4355203413796689 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.6944269989220274 |
| No PCA |     16     |       16       | GMM_EM_tied |  (0.1, 1, 1)  | 0.37003262977894547 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  | 0.08879324893570573 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.2294129393573256 |
|   2    |     1      |       1        |    GMM_EM   |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     1      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9866885296888679 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8314608233886525 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9090746765387602 |
|   2    |     1      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     1      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9906678944205562 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7925058396743604 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8915868670474583 |
|   2    |     1      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9924357201309135 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.733477345895168  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8629565330130408 |
|   2    |     1      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     1      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9944359495819046 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7377675905519376 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8661017700669211 |
|   2    |     1      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.993869411887186  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7396813298727454 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8667753708799657 |
|   2    |     1      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     1      |       8        |    GMM_EM   |  (0.1, 1, 1)  |  0.9944359495819046 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7386539989289742 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8665449742554394 |
|   2    |     1      |       8        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9945187625365367 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7412450485002668 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8678819055184017 |
|   2    |     1      |       8        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9952356084146728 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7337927654101147 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8645141869123938 |
|   2    |     1      |       16       |    GMM_EM   |  (0.1, 1, 1)  |  0.9959473521869148 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7459129453085414 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8709301487477281 |
|   2    |     1      |       16       | GMM_EM_diag |  (0.1, 1, 1)  |  0.9930901728861585 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7396676373384122 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8663789051122854 |
|   2    |     1      |       16       | GMM_EM_tied |  (0.1, 1, 1)  |  0.9945238646424309 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7358385358978603 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8651812002701456 |
|   2    |     2      |       1        |    GMM_EM   |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.9918529137338277 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9959264568669138 |
|   2    |     2      |       1        | GMM_EM_diag |  (0.1, 1, 1)  |         1.0         |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.994901674136036  |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.997450837068018  |
|   2    |     2      |       1        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     2      |       2        |    GMM_EM   |  (0.1, 1, 1)  |  0.9992831541218639 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8931754254675205 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9462292897946922 |
|   2    |     2      |       2        | GMM_EM_diag |  (0.1, 1, 1)  |  0.9952429142829701 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7464026679058908 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8708227910944304 |
|   2    |     2      |       2        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.9091052466974865 |
|   2    |     2      |       4        |    GMM_EM   |  (0.1, 1, 1)  |  0.9992882562277581 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7554263788515071 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8773573175396325 |
|   2    |     2      |       4        | GMM_EM_diag |  (0.1, 1, 1)  |  0.992727254505466  |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.7528145828907513 |          -          |
|   -    |     -      |       -        |      -      |       -       |          -          |  0.8727709186981086 |
|   2    |     2      |       4        | GMM_EM_tied |  (0.1, 1, 1)  |  0.9913847402986924 |          -          |
|   -    |     -      |       -        |      -      |  (0.5, 1, 1)  |  0.8268257530962806 |          -          |
