RBF BEST --> PCA : No PCA -- c_best : 1 -- gamma_best : 0.1 -- K_best : 1 -- C_prim: 0.025
Poly (dim3) BEST --> PCA : No PCA -- c_best : 0.0001 -- d_best : 3 -- K_best : 1 -- C_prim: 0.015384615384615385
Poly (dim2) BEST --> PCA : No PCA -- c_best : 0.01 -- d_best : 2 -- K_best : 1 -- C_prim: 0.0
Lin BEST --> PCA : No PCA -- c_best : 0.1 -- K_best : 1 -- C_prim: 0.020833333333333336
+--------+--------+--------+--------+--------+-----+---------------+----------------------+----------------------+
|  PCA   | Kernel |   c    | degree | gamma  |  K  | Working Point |        minDCF        |        C_prim        |
| No PCA |  Poly  |  0.1   |   3    |   -    | 0.1 |  (0.1, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.015384615384615385 |
| No PCA |  Poly  |  0.1   |   3    |   -    |  1  |  (0.1, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.015384615384615385 |
| No PCA |  Poly  |  0.1   |   3    |   -    |  10 |  (0.1, 1, 1)  | 0.10260683760683761  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.09023310023310024  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.09641996891996893  |
| No PCA |  Poly  |   1    |   2    |   -    | 0.1 |  (0.1, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.015384615384615385 |
| No PCA |  Poly  |   1    |   2    |   -    |  1  |  (0.1, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.015384615384615385 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.015384615384615385 |
| No PCA |  Poly  |   1    |   2    |   -    |  10 |  (0.1, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.04038461538461539  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.04038461538461539  |
| No PCA |  Poly  |   1    |   3    |   -    | 0.1 |  (0.1, 1, 1)  | 0.059829059829059825 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.033566433566433566 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.04669774669774669  |
| No PCA |  Poly  |   1    |   3    |   -    |  1  |  (0.1, 1, 1)  | 0.037606837606837605 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.033566433566433566 |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.035586635586635586 |
| No PCA |  Poly  |   1    |   3    |   -    |  10 |  (0.1, 1, 1)  | 0.18807692307692309  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  | 0.15776556776556777  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.17292124542124543  |
| No PCA |  RBF   | 0.0001 |   -    | 1e-05  | 0.1 |  (0.1, 1, 1)  |  0.162991452991453   |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1400865800865801  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.15153901653901655  |
| No PCA |  RBF   | 0.0001 |   -    | 0.0001 | 0.1 |  (0.1, 1, 1)  |  0.162991452991453   |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1400865800865801  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.15153901653901655  |
| No PCA |  RBF   | 0.0001 |   -    | 0.001  | 0.1 |  (0.1, 1, 1)  |  0.162991452991453   |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1400865800865801  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.15153901653901655  |
| No PCA |  RBF   | 0.0001 |   -    |  0.01  | 0.1 |  (0.1, 1, 1)  |  0.162991452991453   |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |  (0.5, 1, 1)  |  0.1400865800865801  |          -           |
|   -    |   -    |   -    |   -    |   -    |  -  |       -       |          -           | 0.15153901653901655  |
| No PCA |  RBF   | 0.0001 |   -    |  0.1   | 0.1 |  (0.1, 1, 1)  | 0.11222222222222222  |          -           |
