+----------+------+--------+-------------------+-------------------+-----------+
| Prior pi | PCA  |   λ    | minDCF (pi = 0.1) | minDCF (pi = 0.5) | min Cprim |
|   0.5    |  4   | 0.001  |       0.489       |       0.128       |   0.308   |
|   0.5    |  4   |  0.01  |       0.485       |       0.127       |   0.306   |
|   0.5    |  4   |  0.1   |       0.494       |       0.126       |    0.31   |
|   0.5    |  4   |   1    |        0.51       |       0.121       |   0.315   |
|   0.5    |  4   |   10   |       0.519       |       0.124       |   0.321   |
|   0.5    |  4   |  100   |       0.537       |       0.129       |   0.333   |
|   0.5    |  4   |  1000  |       0.557       |       0.133       |   0.345   |
|   0.5    |  3   | 1e-05  |       0.545       |       0.135       |    0.34   |
|   0.5    |  3   | 0.0001 |       0.545       |       0.135       |    0.34   |
|   0.5    |  3   | 0.001  |       0.544       |       0.135       |   0.339   |
|   0.5    |  3   |  0.01  |       0.541       |       0.134       |   0.338   |
|   0.5    |  3   |  0.1   |        0.54       |       0.134       |   0.337   |
|   0.5    |  3   |   1    |       0.544       |       0.134       |   0.339   |
|   0.5    |  3   |   10   |       0.545       |       0.131       |   0.338   |
|   0.5    |  3   |  100   |       0.547       |       0.134       |   0.341   |
|   0.5    |  3   |  1000  |       0.575       |       0.133       |   0.354   |
|   0.5    |  2   | 1e-05  |       0.772       |       0.215       |   0.493   |
|   0.5    |  2   | 0.0001 |       0.772       |       0.215       |   0.493   |
|   0.5    |  2   | 0.001  |       0.772       |       0.215       |   0.494   |
|   0.5    |  2   |  0.01  |       0.773       |       0.214       |   0.494   |
|   0.5    |  2   |  0.1   |       0.776       |       0.215       |   0.495   |
|   0.5    |  2   |   1    |        0.79       |       0.218       |   0.504   |
|   0.5    |  2   |   10   |        0.8        |       0.221       |   0.511   |
|   0.5    |  2   |  100   |       0.802       |       0.225       |   0.514   |
|   0.5    |  2   |  1000  |       0.812       |       0.226       |   0.519   |
|   0.5    | None | 1e-05  |       0.414       |       0.114       |   0.264   |
|   0.5    | None | 0.0001 |       0.414       |       0.114       |   0.264   |
|   0.5    | None | 0.001  |       0.415       |       0.114       |   0.265   |
|   0.5    | None |  0.01  |        0.41       |       0.113       |   0.261   |
|   0.5    | None |  0.1   |       0.387       |       0.107       |   0.247   |
|   0.5    | None |   1    |       0.416       |       0.111       |   0.264   |
|   0.5    | None |   10   |       0.441       |       0.111       |   0.276   |
|   0.5    | None |  100   |       0.457       |        0.12       |   0.289   |
|   0.5    | None |  1000  |       0.502       |       0.129       |   0.316   |
|   0.2    |  5   | 1e-05  |       0.387       |       0.113       |    0.25   |
|   0.2    |  5   | 0.0001 |       0.387       |       0.113       |    0.25   |
|   0.2    |  5   | 0.001  |       0.387       |       0.113       |    0.25   |
